paramID,flag,steps
1057,periodic-1T,17136
1058,periodic-1T,20832
1059,periodic-1T,116592
1060,periodic-1T,17472
1061,periodic-1T,10416
1062,periodic-1T,10752
1063,periodic-1T,17136
1064,periodic-1T,50736
1065,periodic-1T,10080
1066,periodic-1T,17136
1067,periodic-1T,52752
1068,periodic-1T,57792
1069,periodic-1T,263760
1070,periodic-1T,127008
1071,periodic-1T,10752
1072,periodic-1T,10416
1073,periodic-1T,10080
1074,periodic-1T,13776
1075,periodic-1T,20832
1076,periodic-1T,10416
1077,periodic-1T,40992
1078,periodic-1T,15120
1079,periodic-1T,75264
1080,periodic-1T,17136
1081,periodic-1T,10416
1082,periodic-1T,10080
1083,periodic-1T,10416
1084,periodic-1T,10416
1085,periodic-1T,11424
1086,periodic-1T,47376
1087,periodic-1T,10416
1088,periodic-1T,10416
1089,periodic-1T,33936
1090,periodic-1T,61488
1091,periodic-1T,158592
1092,periodic-1T,24192
1093,periodic-1T,10416
1094,periodic-1T,10416
1095,periodic-1T,42000
1096,periodic-1T,10080
1097,periodic-1T,29568
1098,periodic-1T,10416
1099,periodic-1T,10416
1100,periodic-1T,10080
1101,periodic-1T,20496
1102,periodic-1T,10080
1103,periodic-1T,10416
1104,periodic-1T,10752
1105,periodic-1T,10752
1106,periodic-1T,47376
1107,periodic-1T,10752
1108,periodic-1T,13776
1109,periodic-1T,10080
1110,periodic-1T,30576
1111,periodic-1T,23856
1112,periodic-1T,10080
1113,periodic-1T,59808
1114,periodic-1T,10416
1115,periodic-1T,50736
1116,periodic-1T,11088
1117,periodic-1T,10416
1118,periodic-1T,10416
1119,periodic-1T,10080
1120,periodic-1T,40656
1121,periodic-1T,11760
1122,periodic-1T,10416
1123,periodic-1T,10416
1124,periodic-1T,10416
1125,periodic-1T,70896
1126,periodic-1T,10416
1127,periodic-1T,33936
1128,periodic-1T,10416
1129,periodic-1T,10080
1130,periodic-1T,31920
1131,periodic-1T,30912
1132,periodic-1T,57456
1133,periodic-1T,11760
1134,periodic-1T,21504
1135,periodic-1T,33936
1136,periodic-1T,10416
1137,periodic-1T,10416
1138,periodic-1T,10416
1139,periodic-1T,28224
1140,periodic-1T,28224
1141,periodic-1T,10416
1142,periodic-1T,10416
1143,periodic-1T,10416
1144,periodic-1T,10416
1145,periodic-1T,16800
1146,periodic-1T,24864
1147,periodic-1T,13776
